method,split_mode,seed,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0,inf,0.9998938963912155,0.14285714285714285,0.7560610050770457,3,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.00011160714285714285,8960.0,0.9999766733310916,0.14285714285714285,0.5160568456025979,12,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0002232142857142857,4480.0,0.9998378963161227,0.14285714285714285,0.43846389609946435,22,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0003348214285714286,2986.6666666666665,0.9999760801469244,0.14285714285714285,0.41192739958594665,28,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0004464285714285714,2240.0,0.999961721247194,0.14285714285714285,0.37684928940895107,40,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0005580357142857143,1792.0,0.9999828792520629,0.14285714285714285,0.3572655453148874,50,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0006696428571428571,1493.3333333333333,0.9999939355649251,0.14285714285714285,0.3607189084162777,48,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0007812499999999999,1280.0,0.9999797321342395,0.14285714285714285,0.33301944154606616,68,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0008928571428571428,1120.0,0.9999888163647433,0.14285714285714285,0.3308883459615167,70,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0010044642857142856,995.5555555555557,0.9999907131177652,0.14285714285714285,0.32498105977643776,76,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0011160714285714285,896.0,0.9999913442638096,0.14285714285714285,0.3120228149867766,92,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0012276785714285714,814.5454545454546,0.9999881817980218,0.14285714285714285,0.30307454563671804,106,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0013392857142857143,746.6666666666666,0.9999795369164663,0.14285714285714285,0.309276869488276,96,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0014508928571428572,689.2307692307692,0.9999898598565812,0.14285714285714285,0.297657677511583,116,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0015624999999999999,640.0,0.9999866843222495,0.14285714285714285,0.28942028891226607,134,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0016741071428571428,597.3333333333334,0.9999452479503248,0.14285714285714285,0.2956748612128594,120,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0017857142857142857,560.0,0.9999462604706458,0.14285714285714285,0.28476380812712476,146,10.0,20.0
tgv_x_maptv__xb_ya,cross_method_pair,-1,0.0018973214285714286,527.0588235294118,0.9999269155328713,0.14285714285714285,0.2812856424436456,156,10.0,20.0
