method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,before,0.0,inf,0.7133055703235932,0.14285714285714285,0.7560610050770457,3,10.0,20.0
maptv_new_vs_drz,before,0.00011160714285714285,8960.0,0.9480139498171007,0.14285714285714285,0.5160568456025979,12,10.0,20.0
maptv_new_vs_drz,before,0.0002232142857142857,4480.0,0.8674113737645028,0.14285714285714285,0.43846389609946435,22,10.0,20.0
maptv_new_vs_drz,before,0.0003348214285714286,2986.6666666666665,0.9666292028766266,0.14285714285714285,0.41192739958594665,28,10.0,20.0
maptv_new_vs_drz,before,0.0004464285714285714,2240.0,0.9750271179271631,0.14285714285714285,0.37684928940895107,40,10.0,20.0
maptv_new_vs_drz,before,0.0005580357142857143,1792.0,0.9894037456731095,0.14285714285714285,0.3572655453148874,50,10.0,20.0
maptv_new_vs_drz,before,0.0006696428571428571,1493.3333333333333,0.993770318738934,0.14285714285714285,0.3607189084162777,48,10.0,20.0
maptv_new_vs_drz,before,0.0007812499999999999,1280.0,0.9945208483437196,0.14285714285714285,0.33301944154606616,68,10.0,20.0
maptv_new_vs_drz,before,0.0008928571428571428,1120.0,0.9954650202741585,0.14285714285714285,0.3308883459615167,70,10.0,20.0
maptv_new_vs_drz,before,0.0010044642857142856,995.5555555555557,0.9981149996498188,0.14285714285714285,0.32498105977643776,76,10.0,20.0
maptv_new_vs_drz,before,0.0011160714285714285,896.0,0.9986639075672843,0.14285714285714285,0.3120228149867766,92,10.0,20.0
maptv_new_vs_drz,before,0.0012276785714285714,814.5454545454546,0.9988217841393225,0.14285714285714285,0.30307454563671804,106,10.0,20.0
maptv_new_vs_drz,before,0.0013392857142857143,746.6666666666666,0.999469476772925,0.14285714285714285,0.309276869488276,96,10.0,20.0
maptv_new_vs_drz,before,0.0014508928571428572,689.2307692307692,0.9993510748587962,0.14285714285714285,0.297657677511583,116,10.0,20.0
maptv_new_vs_drz,before,0.0015624999999999999,640.0,0.9995728174760451,0.14285714285714285,0.28942028891226607,134,10.0,20.0
maptv_new_vs_drz,before,0.0016741071428571428,597.3333333333334,0.9993059301504628,0.14285714285714285,0.2956748612128594,120,10.0,20.0
maptv_new_vs_drz,before,0.0017857142857142857,560.0,0.9995314100822957,0.14285714285714285,0.28476380812712476,146,10.0,20.0
maptv_new_vs_drz,before,0.0018973214285714286,527.0588235294118,0.9997008773581849,0.14285714285714285,0.2812856424436456,156,10.0,20.0
maptv_new_vs_drz,before,0.0020089285714285712,497.7777777777778,0.9998585902842799,0.14285714285714285,0.28702018719502587,140,10.0,20.0
maptv_new_vs_drz,before,0.002120535714285714,471.5789473684211,0.9998190544112158,0.14285714285714285,0.2757709533720164,174,10.0,20.0
maptv_new_vs_drz,before,0.002232142857142857,448.0,0.9998752636093774,0.14285714285714285,0.27520913338899333,176,10.0,20.0
maptv_new_vs_drz,before,0.00234375,426.6666666666667,0.9998841733133512,0.14285714285714285,0.273051000260408,184,10.0,20.0
maptv_new_vs_drz,before,0.002455357142857143,407.2727272727273,0.9999067234068004,0.14285714285714285,0.2705369635786124,194,10.0,20.0
